row/col,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
"10","tree_dense","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","tree","tree","tree","tree","tree","tree","grass","grass","tree","grass","grass","fallen_leaves","fallen_leaves","fallen_leaves","fallen_leaves","fallen_leaves","fallen_leaves","fallen_leaves","fallen_leaves","grass","grass","grass","PACKAGE_2","grass","grass","tree","tree","tree","tree","tree","tree","tree","tree","grass","grass","grass","grass","grass","grass","grass","tree_dense"
"11","tree_dense","grass","grass","grass","grass","wildflowers","grass","wildflowers","grass","grass","grass","tree","tree","tree","tree","tree","tree","grass","grass","tree","grass","fallen_leaves","fallen_leaves","wind_gust","wind_gust","wind_gust","wind_gust","wind_gust","wind_gust","fallen_leaves","grass","grass","grass","grass","grass","grass","tree","tree","tree","tree","tree","tree","tree","grass","grass","grass","grass","grass","grass","fallen_leaves","grass","tree_dense"
"12","tree_dense","grass","grass","grass","fallen_leaves","grass","grass","grass","grass","grass","grass","grass","tree","tree","tree","tree","tree","tree","tree","grass","wildflowers","grass","wildflowers","wind_gust","wind_gust","wind_gust","wind_gust","wind_gust","wind_gust","grass","grass","grass","grass","grass","tree","tree","tree","tree","tree","tree","tree","tree","tree","grass","wildflowers","grass","grass","fallen_leaves","grass","grass","grass","tree_dense"
"13","tree_dense","grass","grass","grass","grass","grass","grass","grass","ocean_shore","ocean_shore","ocean_shore","ocean_shore","ocean_shore","ocean_shore","ocean_shore","tree","ocean_shore","ocean_shore","ocean_shore","ocean_shore","ocean_shore","ocean_shore","ocean_shore","ocean_shore","path","path","path","ocean_shore","ocean_shore","ocean_shore","ocean_shore","ocean_shore","ocean_shore","ocean_shore","ocean_shore","tree","tree","tree","tree","tree","tree","tree","ocean_shore","ocean_shore","grass","grass","grass","grass","grass","grass","grass","tree_dense"
"14","tree_dense","grass","grass","grass","wildflowers","grass","wildflowers","grass","water","water_alt","water_alt","water","water","water","water","water","water","water","water","water","water","water","water","water","bridge","bridge","bridge","bridge","bridge","water","water","water","water","water","water","water","water","water","tree","water","water","water_alt","water_alt","water","grass","grass","fallen_leaves","grass","fallen_leaves","grass","grass","tree_dense"
"15","tree_dense","grass","grass","grass","grass","grass","grass","grass","water","water_alt","water_alt","water","water","water","water","water","water","water","water","water","water","water","water","water","bridge","path","path","bridge","bridge","water","water","water","water","water","water","water","water","water","water","water","water","water_alt","water_alt","water","grass","grass","grass","grass","grass","grass","grass","tree_dense"
"16","tree_dense","grass","grass","grass","swamp","swamp","swamp","swamp","swamp","swamp","ocean_shore","ocean_shore","ocean_shore","ocean_shore","ocean_shore","ocean_shore","ocean_shore","ocean_shore","ocean_shore","ocean_shore","ocean_shore","ocean_shore","ocean_shore","ocean_shore","ocean_shore","PLAYER_START","path","ocean_shore","ocean_shore","ocean_shore","ocean_shore","ocean_shore","ocean_shore","ocean_shore","ocean_shore","ocean_shore","ocean_shore","ocean_shore","ocean_shore","ocean_shore","ocean_shore","ocean_shore","swamp","swamp","swamp","swamp","swamp","swamp","swamp","grass","grass","tree_dense"
"17","tree_dense","grass","grass","wildflowers","swamp","swamp","swamp","swamp","swamp","swamp","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","path","path","grass","grass","wildflowers","grass","grass","grass","grass","grass","grass","grass","tree","grass","grass","fallen_leaves","grass","swamp","swamp","swamp","swamp","swamp","swamp","swamp","grass","grass","tree_dense"
"18","tree_dense","grass","grass","grass","swamp","swamp","swamp","swamp","swamp","swamp","grass","grass","grass","grass","grass","tree","grass","grass","grass","grass","wildflowers","grass","wildflowers","wind_gust","wind_gust","wind_gust","wind_gust","wind_gust","wind_gust","fallen_leaves","grass","grass","grass","grass","tree","tree","tree","tree","tree","tree","tree","grass","swamp","swamp","swamp","swamp","swamp","swamp","swamp","grass","grass","tree_dense"
"19","tree_dense","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","tree","tree","tree","tree","tree","tree","tree","grass","moss","moss","moss","wind_gust","wind_gust","wind_gust","wind_gust","wind_gust","wind_gust","moss","moss","moss","grass","tree","tree","tree","tree","tree","tree","tree","tree","tree","grass","grass","grass","grass","grass","grass","grass","grass","grass","tree_dense"
"20","tree_dense","grass","grass","grass","wildflowers","grass","grass","grass","grass","grass","grass","stone","tree","tree","tree","tree","tree","grass","grass","PACKAGE_3","grass","moss","moss","moss","moss","moss","moss","moss","moss","moss","moss","moss","grass","PACKAGE_4","grass","grass","tree","tree","tree","tree","tree","tree","grass","grass","fallen_leaves","grass","grass","grass","wildflowers","grass","grass","tree_dense"
"21","tree_dense","grass","grass","fallen_leaves","grass","fallen_leaves","grass","grass","grass","grass","grass","tree","stone","tree","tree","tree","tree","wildflowers","grass","grass","grass","moss","moss","moss","moss","moss","moss","moss","moss","moss","moss","moss","grass","grass","grass","grass","tree","tree","tree","tree","tree","tree","tree","wildflowers","grass","grass","grass","grass","grass","grass","grass","tree_dense"
"22","tree_dense","grass","grass","grass","grass","fallen_leaves","grass","grass","wildflowers","grass","tree","tree","tree","tree","tree","tree","tree","grass","grass","tree","tree","grass","grass","grass","grass","path","path","grass","grass","fallen_leaves","grass","grass","wildflowers","tree","wildflowers","grass","tree","tree","tree","tree","tree","tree","grass","grass","grass","fallen_leaves","grass","grass","grass","grass","grass","tree_dense"
"23","tree_dense","grass","grass","wildflowers","grass","wildflowers","grass","path","path","path","path","tree","tree","tree","tree","tree","tree","tree","tree","tree","path","path","path","path","path","path","path","path","path","path","path","path","path","tree","tree","tree","tree","tree","tree","tree","tree","tree","path","path","path","path","grass","wildflowers","grass","grass","grass","tree_dense"
"24","tree_dense","grass","grass","grass","grass","grass","path","path","path","path","path","tree","tree","tree","tree","tree","tree","tree","tree","tree","path","path","path","path","path","path","path","path","path","path","path","path","path","path","tree","tree","tree","tree","tree","tree","tree","path","path","path","path","path","path","path","grass","fallen_leaves","grass","tree_dense"
"25","tree_dense","grass","grass","grass","grass","HOUSE_3","HOUSE_3","HOUSE_3","grass","grass","grass","wildflowers","tree","tree","tree","tree","tree","tree","tree","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","tilled_soil","tilled_soil","tilled_soil","tilled_soil","tree","tilled_soil","tilled_soil","grass","grass","grass","grass","HOUSE_4","HOUSE_4","HOUSE_4","grass","grass","grass","grass","tree_dense"
"26","tree_dense","grass","grass","grass","grass","HOUSE_3","HOUSE_3","HOUSE_3","grass","grass","grass","grass","mushroom_patch","mushroom_patch","mushroom_patch","tree","mushroom_patch","mushroom_patch","mushroom_patch","fallen_leaves","grass","fallen_leaves","wildflowers","grass","stone","grass","wildflowers","grass","stone","grass","fallen_leaves","grass","grass","tilled_soil","tilled_soil","tilled_soil","tilled_soil","tilled_soil","tilled_soil","tilled_soil","grass","grass","grass","grass","HOUSE_4","HOUSE_4","HOUSE_4","grass","grass","grass","grass","tree_dense"
"27","tree_dense","grass","grass","fallen_leaves","grass","HOUSE_3","HOUSE_3","HOUSE_3","grass","grass","grass","grass","mushroom_patch","mushroom_patch","mushroom_patch","mushroom_patch","mushroom_patch","mushroom_patch","mushroom_patch","wildflowers","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","crop_bloom","crop_bloom","crop_bloom","crop_bloom","crop_bloom","crop_bloom","crop_bloom","crop_bloom","grass","grass","HOUSE_4","HOUSE_4","HOUSE_4","grass","grass","grass","grass","tree_dense"
"28","tree_dense","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","wildflowers","grass","crop_bloom","crop_bloom","crop_bloom","crop_bloom","crop_bloom","crop_bloom","crop_bloom","crop_bloom","grass","grass","grass","grass","grass","grass","grass","grass","grass","tree_dense"
"29","tree_dense","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","crop_bloom","crop_bloom","crop_bloom","crop_bloom","crop_bloom","crop_bloom","crop_bloom","crop_bloom","grass","grass","grass","grass","grass","grass","grass","grass","grass","tree_dense"
"30","tree_dense","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","grass","tree_dense"
"31","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense","tree_dense"
